age,weight,height,bmi,fitness_level,fitness_level_name,goal,goal_name,category,category_label
56,104.74,159.17,41.34,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
56,78.44,155.0,32.65,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
53,55.72,182.54,16.72,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
41,107.43,160.62,41.64,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
29,90.87,150.35,40.2,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
44,90.89,156.97,36.89,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
64,91.38,169.12,31.95,0,Beginner,2,General Fitness,2,Beginner - General Fitness
54,90.57,158.53,36.04,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
21,115.67,178.16,36.44,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
43,52.33,184.21,15.42,2,Advanced,2,General Fitness,8,Advanced - General Fitness
61,82.14,151.72,35.68,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
53,58.67,187.77,16.64,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
59,87.58,151.57,38.12,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
61,115.46,194.74,30.45,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
32,51.64,159.8,20.22,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
57,108.34,187.37,30.86,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
41,71.76,164.05,26.66,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
46,105.16,153.73,44.5,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
41,74.62,164.67,27.52,2,Advanced,2,General Fitness,8,Advanced - General Fitness
34,98.35,189.51,27.39,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
59,71.88,155.79,29.62,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
25,78.71,154.77,32.86,2,Advanced,2,General Fitness,8,Advanced - General Fitness
41,94.94,179.56,29.45,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
52,80.42,155.98,33.05,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
18,99.13,161.8,37.87,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
44,84.2,171.38,28.67,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
49,92.73,165.72,33.77,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
40,90.33,176.99,28.84,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
49,89.91,184.74,26.35,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
62,67.17,155.27,27.86,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
28,69.33,156.1,28.45,0,Beginner,2,General Fitness,2,Beginner - General Fitness
50,65.41,182.38,19.66,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
58,67.86,158.23,27.1,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
54,96.93,163.47,36.27,2,Advanced,2,General Fitness,8,Advanced - General Fitness
49,83.91,185.15,24.48,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
29,63.88,174.86,20.89,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
34,65.01,198.83,16.44,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
54,70.88,181.72,21.47,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
61,78.58,177.64,24.9,2,Advanced,2,General Fitness,8,Advanced - General Fitness
28,72.72,162.11,27.67,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
51,92.51,176.79,29.6,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
23,97.19,192.92,26.11,2,Advanced,2,General Fitness,8,Advanced - General Fitness
43,83.41,161.32,32.05,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
50,74.82,175.89,24.18,0,Beginner,2,General Fitness,2,Beginner - General Fitness
45,100.14,160.45,38.9,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
59,64.35,183.0,19.21,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
19,119.72,198.27,30.45,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
49,92.48,166.95,33.18,2,Advanced,2,General Fitness,8,Advanced - General Fitness
33,112.28,194.35,29.73,0,Beginner,2,General Fitness,2,Beginner - General Fitness
25,103.9,183.45,30.87,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
42,94.76,150.25,41.97,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
19,96.89,182.6,29.06,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
21,62.79,166.27,22.71,2,Advanced,2,General Fitness,8,Advanced - General Fitness
34,68.1,177.13,21.71,2,Advanced,2,General Fitness,8,Advanced - General Fitness
39,64.89,162.2,24.66,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
62,81.51,195.3,21.37,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
38,82.7,178.85,25.85,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
36,87.9,188.43,24.76,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
46,65.97,194.17,17.5,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
41,69.81,177.64,22.12,2,Advanced,2,General Fitness,8,Advanced - General Fitness
50,50.65,165.28,18.54,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
20,57.71,177.84,18.25,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
20,87.75,154.86,36.59,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
40,55.51,175.92,17.94,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
34,108.65,156.83,44.17,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
46,67.24,170.99,23.0,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
41,113.49,175.57,36.82,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
37,93.75,185.1,27.36,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
40,47.07,178.94,14.7,2,Advanced,2,General Fitness,8,Advanced - General Fitness
39,69.61,157.75,27.97,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
39,89.31,151.53,38.9,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
32,72.01,156.35,29.46,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
61,117.39,172.86,39.29,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
49,84.85,177.03,27.07,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
59,69.22,189.76,19.22,2,Advanced,2,General Fitness,8,Advanced - General Fitness
45,100.8,162.54,38.15,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
40,77.12,184.42,22.68,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
18,78.18,161.99,29.79,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
57,115.1,181.91,34.78,0,Beginner,2,General Fitness,2,Beginner - General Fitness
22,90.88,170.98,31.09,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
54,54.01,167.09,19.35,0,Beginner,2,General Fitness,2,Beginner - General Fitness
47,109.16,185.18,31.83,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
38,80.51,158.66,31.98,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
40,48.6,197.46,12.47,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
27,91.94,175.16,29.97,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
62,57.22,153.53,24.28,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
45,88.93,197.01,22.91,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
50,79.37,177.28,25.25,0,Beginner,2,General Fitness,2,Beginner - General Fitness
18,117.09,195.27,30.71,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
29,52.56,150.91,23.08,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
52,70.24,182.79,21.02,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
27,46.75,190.72,12.85,0,Beginner,2,General Fitness,2,Beginner - General Fitness
21,96.97,167.42,34.6,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
53,76.35,198.38,19.4,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
26,87.64,178.8,27.41,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
56,88.54,193.36,23.68,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
30,100.49,161.91,38.33,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
37,106.98,166.0,38.82,2,Advanced,2,General Fitness,8,Advanced - General Fitness
53,45.81,195.27,12.01,0,Beginner,2,General Fitness,2,Beginner - General Fitness
45,116.25,197.53,29.79,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
64,51.25,154.59,21.45,0,Beginner,2,General Fitness,2,Beginner - General Fitness
38,101.43,189.58,28.22,0,Beginner,2,General Fitness,2,Beginner - General Fitness
62,114.82,198.71,29.08,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
22,100.28,177.3,31.9,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
64,55.72,188.08,15.75,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
55,51.31,185.05,14.98,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
44,97.97,154.07,41.27,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
36,88.6,193.16,23.75,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
24,118.95,187.67,33.77,1,Intermediate,2,General Fitness,5,Intermediate - General Fitness
36,103.29,177.92,32.63,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
43,69.77,171.72,23.66,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
45,87.86,187.05,25.11,0,Beginner,2,General Fitness,2,Beginner - General Fitness
58,100.82,184.05,29.76,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
42,110.14,161.18,42.4,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
61,118.34,177.8,37.43,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
33,84.58,199.65,21.22,0,Beginner,2,General Fitness,2,Beginner - General Fitness
36,117.7,176.15,37.93,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
31,67.09,199.79,16.81,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
20,112.59,152.27,48.56,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
29,53.01,166.78,19.06,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
25,71.5,179.18,22.27,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
53,118.97,184.91,34.79,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
50,75.84,180.14,23.37,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
63,50.72,197.03,13.06,2,Advanced,0,Weight Loss,6,Advanced - Weight Loss
64,113.94,154.14,47.96,1,Intermediate,1,Muscle Gain,4,Intermediate - Muscle Gain
62,57.36,170.56,19.72,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
35,119.05,157.52,47.98,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
42,117.74,192.11,31.9,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
51,47.76,156.69,19.45,0,Beginner,2,General Fitness,2,Beginner - General Fitness
23,96.88,176.72,31.02,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
20,86.66,188.45,24.4,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
27,73.34,162.05,27.93,0,Beginner,1,Muscle Gain,1,Beginner - Muscle Gain
18,116.55,180.31,35.85,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
57,91.36,167.91,32.4,2,Advanced,1,Muscle Gain,7,Advanced - Muscle Gain
51,80.72,191.57,21.99,1,Intermediate,0,Weight Loss,3,Intermediate - Weight Loss
61,87.07,193.83,23.17,0,Beginner,0,Weight Loss,0,Beginner - Weight Loss
